사용일자(일시),사용장소,"사용
금액(원)","대상
인원(명)"
2022-08-19 12:53,동신참치,"300,000",20
2022-08-23 12:18,청정해식당,"72,000",7
2022-08-25 12:44,동신참치,"100,000",6
2022-08-26 12:45,영덕집,"97,000",9
2022-08-26 12:45,해승어풍,"130,000",10
2022-08-30 12:51,거제지심도,"70,000",6
2022-08-30 12:56,힐튼가든인,"210,000",10
2022-08-31 12:37,계약소,"57,000",5
2022-08-31 13:34,설마중,"340,000",15
2022-09-02 12:31,명태어부 외1,"96,100",8
2022-09-02 12:22,연화산,"345,000",15
2022-09-02 13:26,프릳츠,"89,100",17
2022-09-02 13:35,한우리보호작업장,"64,000",20
2022-09-05 12:29,가마솥청국장,"86,000",8
2022-09-06 12:05,신가예촌,"462,000",21
2022-09-06 12:50,보글이생태왕코다리,"70,000",5
2022-09-06 21:32,난랑,"345,000",30
2022-09-07 17:24,홍팥집,"42,600",9
2022-09-08 12:48,만복국수,"44,500",5
2022-09-13 12:45,신수사,"120,000",6
2022-09-14 12:38,가마솥청국장 외1,"114,500",8
2022-09-14 13:28,이디야,"370,000",75
2022-09-14 13:59,일품헌,"476,000",25
2022-09-15 12:11,한양돈까스 외1,"95,800",7
2022-09-16 11:45,카페 보아즈,"106,100",6
2022-09-19 12:21,서리플푸드,"481,000",35
2022-09-19 13:25,이디야,"125,600",30
2022-09-21 13:14,일품헌,"80,000",6
2022-09-21 12:32,임병주 산동칼국수,"82,000",9
2022-09-22 12:32,동신참치,"175,000",15
2022-09-23 12:35,장수식당,"308,000",23
2022-09-23 13:35,스타벅스,"203,300",45
2022-09-26 12:30,진스시,"240,000",12
2022-09-27 19:32,GS25,"36,000",8
2022-09-27 21:17,명선헌,"253,000",10
2022-09-27 12:21,자인뭉티기 외1,"73,700",7
2022-09-27 12:38,삼호복집,"117,000",6
2022-09-27 19:29,코이라멘,"23,500",3
2022-09-28 20:33,금강수림,"158,000",7
2022-09-29 14:55,홍팥집,"36,200",11
2022-09-29 15:15,쌀마루,"40,400",5
2022-09-29 20:35,명선헌,"489,500",25
2022-10-04 12:31,미소마을 외1,"89,000",6
2022-10-04 12:49,거제지심도,"175,000",9
2022-10-04 20:27,감선호취,"220,000",10
2022-10-05 12:43,효미역,"98,000",8
2022-10-05 12:49,명선헌,"208,500",9
2022-10-06 12:48,명선헌,"119,000",6
2022-10-06 20:56,설마중,"393,000",15
2022-10-07 11:41,밥밥디라라,"42,100",4
2022-10-07 12:19,명동칼국수 외1,"82,000",7
2022-10-07 14:17,탈믈리에김영모,"59,000",10
2022-10-07 19:52,양재아구찜 외1,"193,500",8
2022-10-11 12:25,영덕집 외1,"167,500",9
2022-10-12 12:26,바다축제,"728,000",25
2022-10-12 12:37,더 호감 외1,"113,200",7
2022-10-13 12:47,금수복국,"120,000",8
2022-10-14 12:25,이올로화덕피자,"54,000",5
2022-10-14 12:51,더하누,"560,000",25
2022-10-14 14:34,폴바셋,"418,000",35
2022-10-14 20:48,이솔라,"414,600",20
2022-10-17 12:38,명가무안뻘낙지,"72,000",5
2022-10-17 12:51,강촌원조쭈꾸미,"582,000",31
2022-10-17 13:38,스타벅스,"185,300",31
2022-10-18 12:18,강촌원조쭈꾸미 외1,"138,000",8
2022-10-18 20:25,난랑,"89,000",7
2022-10-19 20:56,우참판,"193,000",8
2022-10-20 12:14,금강수림 외1,"85,240",6
2022-10-21 17:17,호원당,"63,800",4
2022-10-24 12:35,동신참치,"70,000",5
2022-10-25 8:40,CU,"36,310",10
2022-10-25 12:40,삼원명가,"24,000",3
2022-11-01 12:19,자인뭉티기 외1,"78,100",6
2022-11-01 12:44,진스시,"234,000",12
2022-11-02 12:28,버드나무집,"202,000",10
2022-11-02 12:49,그램,"81,000",7
2022-11-03 9:34,세븐일레븐,"60,900",15
2022-11-03 12:36,가마솥청국장,"72,000",6
2022-11-03 12:49,봉피양 ,"117,000",7
2022-11-04 13:04,코나카페,"34,200",6
2022-11-07 12:25,금강수림,"168,000",10
2022-11-07 21:08,도화,"361,000",15
2022-11-08 12:38,미카도스시,"55,100",4
2022-11-09 12:31,무화잠,"515,000",18
2022-11-09 12:32,더스파게티하우스 외1,"65,300",6
2022-11-09 20:51,태평양일식,"404,000",15
2022-11-10 21:12,동신참치,"370,000",13
2022-11-11 11:55,임병주 산동칼국수,"90,000",7
2022-11-11 9:05,세븐일레븐,"48,100",10
2022-11-12 20:56,거제지심도,"450,000",20
2022-11-14 12:39,지세포,"131,000",8
2022-11-14 20:06,서초복집,"290,000",13
2022-11-15 8:35,카페늘봄,"14,000",5
2022-11-15 20:55,갈비사랑,"264,000",12
2022-11-16 11:59,우사기,"46,000",5
2022-11-17 9:09,세븐일레븐,"63,400",10
2022-11-17 21:28,신가예촌,"282,000",11
2022-11-18 12:47,신수사,"180,000",9
2022-11-21 9:06,세븐일레븐,"60,800",10
2022-11-22 12:42,그램,"93,000",6
2022-12-01 12:50,민물매운탕,"88,000",7
2022-12-02 12:12,전주콩나루콩나물국밥,"72,000",8
2022-12-05 13:06,명선헌,"462,000",20
2022-12-05 20:36,감선호취,"370,000",16
2022-12-06 12:25,동신참치,"212,000",12
2022-12-07 12:32,디안다만,"218,900",10
2022-12-08 12:22,태국식당356,"74,000",5
2022-12-08 12:51,자인뭉티기 외1,"430,700",22
2022-12-09 15:02,감선호취,"320,000",15
2022-12-09 19:30,난랑,"72,000",6
2022-12-12 12:04,자인뭉티기 외1,"81,000",7
2022-12-12 21:08,톰볼라,"319,400",16
2022-12-13 19:14,예촌푸드,"64,000",5
2022-12-13 21:16,금강수림,"221,000",10
2022-12-15 12:37,신가예촌,"297,000",21
2022-12-15 18:56,도쿄등심,"385,000",18
2022-12-16 12:35,태국식당356 외1,"131,400",7
2022-12-16 12:38,동신참치,"237,000",9
2022-12-16 20:27,진동집,"478,000",15
2022-12-18 13:41,채석강,"90,000",8
2022-12-19 12:21,명선헌,"475,000",22
2022-12-19 12:25,보글이생태왕코다리,"72,000",7
2022-12-21 12:43,우아한형제들,"386,300",40
2022-12-21 20:25,서초바다,"220,000",12
2022-12-22 7:51,우아한형제들,"839,500",90
2022-12-22 12:43,삼호복집,"150,000",9
2022-12-23 12:30,갈비사랑,"480,000",25
2022-12-23 19:47,양재순대,"65,000",6
2022-12-26 12:43,신수사,"289,000",15
