"( 기획재정국, 기획예산과 ) 업무추진비 집행내역 ( 2022.  11월 )",,,,,,,,
연번,사용자,일시,장소,집행목적,대상인원수,금액,결제방법,비목
99,예산팀장,2022.11.21.10:33:11,네이버파이낸셜,시비보조금 확보 관련 업무추진,30,"459,540",신용카드,시책
100,기획재정국장,2022.11.21.11:37:08,비야,구의회 2차 정례회 준비 관련 업무추진,5,"34,000",신용카드,기관
101,기획재정국장,2022.11.21.11:39:11,와플앨리,구의회 2차 정례회 준비 관련 업무추진,5,"20,300",신용카드,기관
102,재단 담당 주무관,2022.11.21.12:10:27,생고기촌,공재단 기본업무가이드 관련 업무추진,9,"220,000",제로페이,시책
103,통계 담당 주무관,2022.11.21.12:40:47,위로한모금,공공데이터 플랫폼 운영 관련 업무추진,6,"43,000",제로페이,시책
104,기획예산과장,2022.11.21.20:46:11,원할머니,2023 서울시비 확보 관련 업무추진,5,"113,000",신용카드,시책
105,예산팀장,2022.11.21.21:31:03,노가리슈퍼,대외재정 확보 관련 업무추진,6,"63,500",신용카드,시책
106,법제통계팀장,2022.11.22.12:03:22,성북손두부,구정인식조사 관련 업무추진,5,"50,000",제로페이,시책
107,기획예산과장,2022.11.22.12:16:07,성북동사람들,서울시 보조금 확보 관련 업무추진,6,"118,000",신용카드,시책
108,기획예산과장,2022.11.23.12:19:31,버거파크,서울시 보조금 확보 관련 업무추진,5,"70,800",신용카드,시책
109,법제통계팀장,2022.11.23.12:34:20,라라면가,마을기록화 사업 관련 업무추진,5,"40,000",제로페이,시책
110,과제관리 담당 주무관,2022.11.23.12:41:00,레인커피,2022년 하반기 과제 및 조직평가 관련 업무추진,5,"41,500",신용카드,시책
111,공단 담당 주무관,2022.11.23.12:43:12,스시진,공단 기본업무가이드 관련 업무추진,3,"33,000",신용카드,시책
112,기획재정국장,2022.11.23.20:07:36,흑도담,대외재정 확보 관련 업무추진,22,"355,000",신용카드,시책
113,마을기록 담당 주무관,2022.11.24.11:59:54,도쿄커틀릿,마을기록화 사업 관련 업무추진,5,"49,000",제로페이,시책
114,공재단 담당 주무관,2022.11.24.12:16:50,파도의 숲,공재단 혁신안 보고회 관련 업무추진,5,"23,500",제로페이,시책
115,법제통계팀장,2022.11.24.13:01:03,웰컴카페,주민기록단 운영 관련 업무추진,6,"36,000",제로페이,시책
116,기획팀장,2022.11.25.11:40:51,명물부대찌게,2022 주요업무 추진현황 점검 관련 업무추진,4,"43,000",신용카드,시책
117,기획팀장,2022.11.25.11:43:04,이모티프,2022 주요업무 추진현황 점검 관련 업무추진,4,"27,400",신용카드,시책
118,기획예산과장,2022.11.25.11:54:39,스시캘리포니아,대외재정 확보 관련 업무추진,5,"84,000",신용카드,시책
